patch_id,labels,split,country,s1_name,s2v1_name,contains_seasonal_snow,contains_cloud_or_shadow
S2B_MSIL2A_20180421T114349_N9999_R123_T29UPU_52_68,['Arable land' 'Complex cultivation patterns' 'Pastures' 'Urban fabric'],test,Ireland,S1A_IW_GRDH_1SDV_20180420T063917_29UPU_52_68,S2B_MSIL2A_20180421T114349_52_68,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_29_63,"['Arable land' 'Broad-leaved forest' 'Inland waters' 'Pastures'
 'Urban fabric']",test,Austria,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_29_63,S2A_MSIL2A_20170613T101031_29_63,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_30_58,['Arable land' 'Coniferous forest' 'Pastures'],test,Austria,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_30_58,S2A_MSIL2A_20170613T101031_30_58,False,False
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_51_42,"['Agro-forestry areas' 'Arable land' 'Broad-leaved forest'
 'Transitional woodland, shrub']",test,Portugal,S1A_IW_GRDH_1SDV_20171221T064238_29SND_51_42,S2A_MSIL2A_20171221T112501_51_42,False,False
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_51_51,"['Arable land' 'Broad-leaved forest' 'Transitional woodland, shrub']",test,Portugal,S1A_IW_GRDH_1SDV_20171221T064303_29SND_51_51,S2A_MSIL2A_20171221T112501_51_51,False,False
S2B_MSIL2A_20180421T114349_N9999_R123_T29UPU_53_28,"['Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Mixed forest' 'Pastures']",test,Ireland,S1A_IW_GRDH_1SDV_20180420T063917_29UPU_53_28,S2B_MSIL2A_20180421T114349_53_28,False,False
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_51_57,"['Agro-forestry areas' 'Arable land' 'Broad-leaved forest'
 'Coniferous forest' 'Mixed forest' 'Transitional woodland, shrub']",test,Portugal,S1A_IW_GRDH_1SDV_20171221T064303_29SND_51_57,S2A_MSIL2A_20171221T112501_51_57,False,False
S2B_MSIL2A_20180421T114349_N9999_R123_T29UPU_53_33,['Pastures' 'Urban fabric'],test,Ireland,S1A_IW_GRDH_1SDV_20180420T063917_29UPU_53_33,S2B_MSIL2A_20180421T114349_53_33,False,False
S2B_MSIL2A_20180421T114349_N9999_R123_T29UPU_53_49,['Arable land' 'Coniferous forest' 'Pastures'],test,Ireland,S1A_IW_GRDH_1SDV_20180420T063917_29UPU_53_49,S2B_MSIL2A_20180421T114349_53_49,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_33_62,"['Arable land' 'Coniferous forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Mixed forest' 'Pastures' 'Urban fabric']",test,Austria,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_33_62,S2A_MSIL2A_20170613T101031_33_62,False,False
